Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Item_Outlet_Sales,Outlet_Age,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,New_Item_Type_0,New_Item_Type_1,New_Item_Type_2,Outlet_Identifier_0,Outlet_Identifier_1,Outlet_Identifier_2,Outlet_Identifier_3,Outlet_Identifier_4,Outlet_Identifier_5,Outlet_Identifier_6,Outlet_Identifier_7,Outlet_Identifier_8,Outlet_Identifier_9
FDA15,9.3,0.016047301,249.8092,3735.138,18,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRC01,5.92,0.019278216,48.2692,443.4228,8,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDN15,17.5,0.016760075,141.618,2097.27,18,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDX07,19.2,0.017834337888888892,182.095,732.38,19,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCD19,8.93,0.009779828555555557,53.8614,994.7052,30,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FDP36,10.395,0.057058688875,51.4008,556.6088,8,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO10,13.65,0.012741088999999999,57.6588,343.5528,30,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP10,19.0,0.127469857,107.7622,4022.7636,32,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDH17,16.2,0.016687114,96.9726,1076.5986,15,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDU28,19.2,0.09444959,187.8214,4710.535,10,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDY07,11.8,0.040626524444444444,45.5402,1516.0266,18,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDA03,18.5,0.045463773,144.1102,2187.153,20,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDX32,15.1,0.1000135,145.4786,1589.2646,18,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDS46,17.6,0.047257328,119.6782,2145.2076,20,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDF32,16.35,0.06802430000000001,196.4426,1977.4260000000002,30,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP49,9.0,0.06908896099999999,56.3614,1547.3192,20,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCB42,11.8,0.008596051,115.3492,1621.8888,8,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP49,9.0,0.06919637599999999,54.3614,718.3982,18,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRI11,8.26,0.034237682,113.2834,2303.6679999999997,32,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.10249212,230.5352,2748.4224,13,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDN22,18.85,0.138190277,250.8724,3775.086,30,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDW12,8.315,0.035399923,144.5444,4064.0432,32,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCB30,14.6,0.025698133999999997,196.5084,1587.2672,13,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDC37,15.5,0.057556998,107.6938,214.3876,32,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDR28,13.85,0.025896485,165.021,4078.025,20,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCD06,13.0,0.099887103,45.906000000000006,838.908,10,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDV10,7.645,0.06669343700000001,42.3112,1065.28,13,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRJ59,11.65,0.019356131999999998,39.1164,308.9312,30,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDE51,5.925,0.161466534,45.5086,178.4344,19,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDC14,14.5,0.072221801,43.6454,125.8362,32,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDV38,19.25,0.17034855100000001,55.7956,163.7868,19,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCS17,18.6,0.080829372,96.4436,2741.7644,8,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP33,18.7,0.0930934742,256.6672,3068.0064,8,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO23,17.85,0.14246229066666669,93.1436,2174.5028,15,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH01,17.5,0.097904029,174.8738,2085.2856,20,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NCX29,10.0,0.08929113699999999,146.7102,3791.0652,18,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDV20,20.2,0.059511812000000004,128.0678,2797.6916,32,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
DRZ11,8.85,0.113123893,122.5388,1609.9044,8,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDX10,6.384999999999999,0.12311145300000001,36.9874,388.1614,32,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB34,15.25,0.026480953999999998,87.6198,2180.495,32,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.102511504,230.6352,3435.528,20,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDK43,9.8,0.02681843,126.00200000000001,2150.534,30,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA46,13.6,0.117818348,192.9136,2527.3768,18,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDC02,21.35,0.06910283099999999,259.9278,6768.5228,8,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDL50,12.15,0.042277867000000004,126.5046,373.5138,30,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDM39,6.42,0.08949892599999999,178.1002,358.2004,19,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCP05,19.6,0.018756953777777776,153.3024,2428.8384,15,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDV49,10.0,0.025879577,265.2226,5815.0972,15,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL12,15.85,0.121632721,60.622,2576.646,20,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS02,10.195000000000002,0.25539489600000004,196.8794,780.3176,32,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCL17,7.39,0.067779712,143.8812,3134.5864,20,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDM40,10.195,0.159803853,141.5154,850.8924,30,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDR13,9.895,0.028696932,117.0492,810.9444,30,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA43,10.895,0.065041581,196.3794,3121.2704,10,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCP18,12.15,0.028760012999999997,151.4708,4815.0656,10,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDK21,7.905,0.010053105,249.0408,6258.52,8,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCX54,9.195,0.048157338,106.1622,2117.244,15,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DRK35,8.365,0.071958197,38.0506,796.9626,18,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDY21,15.1,0.17348130399999998,194.511,4910.275,20,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDI26,5.9399999999999995,0.061082177,180.0344,892.172,32,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDM20,10.0,0.0364918673,246.9144,3185.1872,8,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDV27,7.97,0.040071131,87.3514,1062.6168,15,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF09,6.215,0.012090074,38.2848,484.7024,32,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDY40,15.5,0.15028599,51.0692,147.8076,32,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDY45,17.5,0.026015518999999997,255.8356,2543.356,32,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDC46,17.7,0.195068226,185.4266,184.4266,19,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDH19,19.35,0.033082215,172.5738,4865.6664,13,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDZ03,13.65,0.078946455,186.024,1118.5439999999999,15,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH37,17.6,0.041700756,164.8526,2302.3364,15,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NCI17,8.645,0.14342264300000002,95.84100000000001,2027.361,20,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDJ58,15.6,0.10529607199999999,170.1764,3435.528,20,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDL12,15.85,0.121531501,59.222,599.22,30,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDH35,18.25,0.05810121044444445,164.7526,4604.6728,15,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDG02,7.855,0.011324862,189.6188,2285.0256,10,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCZ18,7.825,0.186357148,254.3698,5580.7356,18,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDC29,8.39,0.024205661,114.0176,2290.3520000000003,20,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDQ10,12.85,0.033230816,172.3422,1207.0954,18,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDN48,13.349999999999998,0.113720344,89.9804,643.1628,32,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDL04,19.0,0.11255650699999999,104.9622,1587.933,10,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV25,5.905,0.04441604033333333,222.5456,5305.0944,15,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD58,7.76,0.05935224099999999,101.87,1697.79,20,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN04,11.8,0.014087057,180.3344,1427.4752,20,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDV45,16.75,0.045230944,187.9556,4693.89,8,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCL18,18.849999999999998,0.293417759,194.6136,583.2408,32,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDR12,12.599999999999998,0.031382044,171.3764,3091.9752,32,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDG20,15.5,0.12639886,177.0028,2479.4392,10,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
